step,train_loss,train_time_min,tok_per_s
4435,2.796,11.5,5039053
4440,2.7915,11.5,5039314
4445,2.8285,11.6,5039576
4450,2.8831,11.6,5039834
4455,2.8841,11.6,5040092
4460,2.8503,11.6,5040351
4465,2.7859,11.6,5040622
4470,2.7684,11.6,5040897
4475,2.8034,11.6,5041154
4480,2.7208,11.6,5041419
4485,2.8,11.7,5041689
4490,2.7845,11.7,5041959
4495,2.8337,11.7,5042219
4500,2.8183,11.7,5037246
4505,2.8266,11.7,5037470
4510,2.8783,11.7,5037740
4515,2.8674,11.7,5038002
4520,2.7808,11.8,5038303
4525,2.8385,11.8,5038568
4530,2.7744,11.8,5038844
4535,2.9119,11.8,5039095
4540,2.7857,11.8,5039364
4545,2.7997,11.8,5039609
4550,2.824,11.8,5039876
